score,text,class
0,wamenag ungkap alas jokowi tak shalat id di masjid istiqlal puan harap,Neutral
0,wamenag ungkap alas jokowi tak shalat id di masjid istiqlal puan info,Neutral
4,wamenag ungkap alas jokowi tak shalat id di masjid istiqlal puan top,Positive
0,situasi masjid istiqlal dan gedung presiden yogyakarta pasca aksa shalat ied tvone ,Neutral
0,rt muslim di china lebaran besok tidak ada shalat id di masjid imbas covid ,Neutral
0,warga izin shalat id sama presiden jokowi di halaman gedung agung ,Neutral
5,warga bina lantun kalimat takbir tahmid dan tahlil sembari tunggu laksana ibadah shalat id ,Positive
0,giat shalat id sebut ikut banyak ratus warga bina serta para gawai lapas kelas iia tanjungpinang ,Neutral
0, rasul sabda shalatlah kalian di kandang kambing dan jangan kalian shalat di tempat derum unta telah cerita kepada kami abu kuraib kata telah cerita kepada kami yahya bin adam dari abu bakar bin ayyasy dari a ,Neutral
0, arti ini tidak shalat id fokus selfi dengan gatgetnya,Neutral
0,shalat ied buka untuk para jemaah dengan kapasitas persen kitar metropolitan adadikompas,Neutral
0,jakarta international stadium atau jis dapat tampung hingga umat untuk shalat idul fitri metropolitan adadikompas,Neutral
1,radar bogor shalat ied di masjid baitul faidzin wabup iwan setiawan mohon maaf lahir bati ,Positive
0,muslim di china lebaran besok tidak ada shalat id di masjid imbas covid ,Neutral
0,jadi khatib shalat ied di lapang vatulemo walikota palu uji senantiasa nanti ,Neutral
-3,lepas shalat id anak anak di kitar bondong bondong datang ke rumah satu di antara teman sekolah adik saat di min lalu bapak tanya sekolah di mana saya indak sekolah wak langsung sedih ketika selamat idul fitri selamat hari didik nasional ,Negative
4,rt saya kira kalau lihat antusiasme warga hari ini pak anies sukses bangun jakarta puji zulkifli ,Positive
0,dari awal masuk mesjid capek nah tangis karena ingat almarhum abah yang dulu jadi muadzin pas shalat id,Neutral
0,warga panca arga gelar shalat idul fitri magelang ,Neutral
4,rt ringkas kait fiqih shalat id sila moga manfaat turut madzhab syafii afdhal di masjid sedang yang lain af,Positive
0,roy suryo shalat id di jis alam yang luarbiasa ,Neutral
0,vibe bapak bapak bubar shalat id ,Neutral
0,usai shalat id jokowi dan maruf amin halalbihalal lewat video call ,Neutral
8, tolak ukur sukses nilai dari shalat id sama di jis ok sip,Positive
4,benar dari hambalang lebih dekat ke cikeas timbang ke solo ,Positive
0,puluh ribu warga jalan shalat idul fitri di jakarta international stadium via ,Neutral
0,jual kertas karton bisa tuai untung hingga ratus ribu ,Neutral
4,muda gereja bagi koran gratis ke jamaah untuk alas shalat id ,Positive
0,warga bandung shalat id di alun alun hingga tutup jalan cihampelas ,Neutral
4,halo sahabat antara yang tengah ada di bandung harap hati ya usai shalat id pemprov jabar akan aman jalur dan tempat wisata serta jalur arus balik lebaran tonton berita lengkap idulfitri lebaran ,Positive
4,shalat id berjamaah di simpang lima gembira ,Positive
0,zulhas pilih shalat id sama anies dijis ,Neutral
6,wali kota jakarta pusat dhany sukma ikut shalat idul fitri h sama wakil presiden republik indonesia sama ruf amin di masjid istiqlal camat sawah besar senin laksana shalat id kali ini rupa yang perdana pasca indonesia landa pandemi covid ,Positive
2,obrol bapak usai shalat id saiki riyoyo rame ya masjid bak teko mburi jama ah e iyo penak wong wes oleh mudik kabeh saiki enggak ribet koyok biyen tapi jokowi ya pintar kok oleh mudik kabeh tapi bensin diundakne regane hooh ya ,Positive
0,shalat id sama ini pesan bupati bengkaliskasmarni ,Neutral
0, saking akeh e sen shalat id ya cak ,Neutral
5,usai laku shalat id di gedung agung istana yogyakarta jokowi unjung diam sri sultan hb kali untuk silaturahmi tak ada agenda penting ,Positive
0,kepala lapas banyuasin cara simbolis serah remisi kepada warga bina usai laksana shalat idul fitri senin lengkap lapasbanyuasin kumhamsumsel ,Neutral
2,bupati ciamis serta wakil kembali laksana shalat idul fitri di alun alun ciamis ,Positive
0,bupati pesisir barat shalat idul fitri di lapang merdeka labuhanjukung ,Neutral
0,alhamdulillah jalan lancar semuanyasemoga idul adha sama tahun depan bisa adakan lagi ya bismillah first time shalat id adakan sini ,Neutral
0,rt shalat idul fitri h di bogor ,Neutral
0,jamaah an nadzir naqsabandiyah padang dan eks hti laksana shalat idul fitri ahad mei ,Neutral
0,tampil tunggal plt bupati bintan shalat id sama ratus warga lewat cowok id,Neutral
0,anies sama zulkifli hasan roy suryo dan ribu jamaah shalat id di jis gubernur aniesbaswedan happyeidmubarak idulfitri idulfitri h ,Neutral
0,laksana shalat idul fitri h di jis dan masjid istiqlal akiptvone ,Neutral
0,kondisi kini shalat idul fitri dari gedung presiden agung yogyakarta akiptvone ,Neutral
0,cholil nafis berik dakwah di jis usai laksana shalat idul fitri akiptvone ,Neutral
7,jadi ingat tahun gue solo backpacking ke banda aceh waktu berangkat shalat id jalan kaki dari hotel ke masjid baiturrahman gue pakai batik bawa carrier bag gede terus disamperin bapak bapak naik motor mau ke masjid ayo bareng kayak baik banget ,Positive
-2,tahun ini pertama kali masjid istiqlal gelar sholat idul fitri lama pandemi ,Negative
1, sholat id masuk sholat yang afdol lebih utama laksana cara berjama ah sendiri tak apa seperti shalat tarawih sahalatnya sunnah afdolnya berjama ah ,Positive
0,presiden jokowi jadwal shalat id di yogyakarta suara merdeka solo info puan,Neutral
4,presiden jokowi jadwal shalat id di yogyakarta suara merdeka solo puan top,Positive
4,presiden jokowi jadwal shalat id di yogyakarta suara merdeka solo puan keren,Positive
0,presiden jokowi jadwal shalat id di yogyakarta suara merdeka solo puan harap,Neutral
0,presiden jokowi jadwal shalat id di yogyakarta suara merdeka solo puan info,Neutral
8,ayu ting ting senang akhir bisa shalat id berjamaah tahun ini ,Positive
1, kakanwil a yuspahruddin kemenkumham jateng masjid rutan banjarnegara masih padat jemaah shalat tarawih,Positive
4, jis top pak anies top moga jadi berkah untuk indonesia ujar zulhas,Positive
8,ayu ting ting shalat id sama orangtuanya abdul rozak dan umi kalsum serta putri bilqis khumairah razak ia senang karena bisa berjamaah lagi ,Positive
4, eh kalo bukan muslim jangan sok tau ya shalat id itu sunnahnya di lapang asal omong saja lu ,Positive
0,ridwan kamil usai shalat id aparat fokus pada jalur wisata ,Neutral
0,rt shakat idulfitri di pp al ihsan hidayatullah rau kalimantan timur senin hujan deras guyur lokasi a,Neutral
6,alhamdulillah shalat id pagi ini hadir hampir orang ber iman belawan simpan ghirah iman ,Positive
3,kepala rutan majene serah suka remisi khusus idul fitri kepada narapidana ,Positive
3,rt warga kota makassar laku shalat id di lapang karebosi ,Positive
0,kakanwil kemenkumham jateng a yuspahruddinrutan kebumen laksana sholat ied h kumhampasti bhpsemarang ayuspahruddin kemenkumhamjateng idulfitri h twitter beritaterkini kumhamsemakinpasti,Neutral
0,presiden joko widodo serta ibu iriana tuna shalat idul fitri hijriah di halaman gedung agung istana presiden yogyakarta ektrabantuin idulfitri h presidenjokowi shalatid shalatidulfitri updatebali ,Neutral
-3,di tol solo semarang malang superlengang alhamdulillah mudik habis shalat id ,Negative
1,warga bulungan padat masjid cagar budaya pada shalat id ,Positive
0,shakat idulfitri di pp al ihsan hidayatullah rau kalimantan timur senin hujan deras guyur lokasi laksana shalat dan khutbah id jamaah basah basah khatib ust fathun qorib foto istimewa eidalfitr eidulfitr eidmubarak ,Neutral
4,shalat id sama di jis zulhas sebut anies sukses bangun jakarta ,Positive
-1,sefruit cakap sama tetangga setelah shalat id ce jurus apa jurus hukum tante ya belum tau ya memang gede mau jadi apa lawyer notaris lihat minta pasar saja deh tante tiba tiba diam,Negative
0,rt jokowi shalat id di istana yogyakarta sempat sapa jemaah di saf depan ,Neutral
9,shalat ied di rumah nas puan selamat sambut hari menang mohon maaf lahir danbathin ,Positive
0,shalat id di lapang merdeka medan ikut gubsu dan walikota ,Neutral
0,di rsj ada shalat id juga ,Neutral
3,warga kota makassar laku shalat id di lapang karebosi ,Positive
-4,rt bayang setelah khutbah id jamaah bubar iring takbir hari raya remix dj bonbon ril jadi di salah satu lokasi shalat id,Negative
0,ribu warga kota sawahlunto laksana shalat id di lapang sepak bola ,Neutral
-4,istana presiden yogyakarta atau gedung agung yogyakarta milik banyak fakta tarik salah satu pernah kunjung ratu elizabeth i ,Negative
0, dikit semua yang shalat id di tempat saya pada enggak pakai masker dikit darimana ,Neutral
1,warga jakarta banjir masjid istiqlal untuk tuna ibadah shalat idul fitri kabar pagitvone ,Positive
0,jokowi laksana shalat idul fitri di istana presiden yogyakarta kabar pagitvone ,Neutral
4,masyarakat pesisir bantul kembali dapat ikut ibadah shalat id di gumuk pasir parangkusumo setelah dua tahun belum ibadah idul fitri di tempat itu tiada nusantara adadikompas,Positive
-1,masjid istiqlal jakarta kembali buka bagi masyarakat untuk gelar shalat idul fitri hijriah setelah dalam dua tahun akhir tak gelar shalat id berjamaah imbas pandemi covid bahkan jamaahpenuhsesak untuk bisa masuk ,Negative
0,musibah di hari lebaran masjid di solo batal shalat id gara gara jadi tak duga lewat ,Neutral
0, fakta istana presiden yogyakarta tempat jokowi shalat id ,Neutral
4,rt gubernur dki anies tegas surat edar sekda bukan untuk kumpul massa shalat id di jis ,Positive
3,rt wakil ketua mpr ini juga salah yang sahih itu ya presiden harus shalat di ikn kalimantan sana itu baru benar ,Positive
0,rt gubernur dki jakarta anies baswedan ,Neutral
0,presiden joko widodo serta ibu iriana shalat id di halaman gedung agung ,Neutral
0,pak enggak shalat id di ikn saja,Neutral
0,presiden joko widodo serta ibu iriana shalat id di halaman gedung agung ,Neutral
3,wakil ketua mpr ini juga salah yang sahih itu ya presiden harus shalat di ikn kalimantan sana itu baru benar ,Positive
0,prabowo shalat ied di hambalang sore nanti prabowo akan silaturahmi dengan presiden jokowi di solo jokowi prabowo,Neutral
0,jamaah an nadzir naqsabandiyah padang dan eks hti laksana shalat idul fitri ahad mei arrahmahcom ,Neutral
0, presiden nya shalat id di jis,Neutral
0, gubernur dki jakarta anies baswedan sungkem kepada ibunda usai shalat idul fitri h di jakarta international stadium simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Neutral
4,muhammadiyah telah populer shalat id di lapang sejak ,Positive
4,rundown giat idul fitri as always mandi shalat minum air anget berangkat keluarga ke lapang masjid shalat id silaturrahim pulang langsung sungkem foto foto ngemil bukain hampers makan ketupat tidur bangun cari bakso enak hahahahaha,Positive
8,shalat id di rumah nas puan selamat sambut hari menang ,Positive
-2,ridwan kamil sebut shalat id di lapang gasibu pecah rekor ,Negative
3,momen harus venna melinda cium tang ferry irawan usai shalat id ,Positive
0,moment shalat id tadi pagi sugeng riyadi doyo lepat nyuwun pangapunten eidmubarak ,Neutral
0,bupati sidrap h dol mando damping ketua tapi pakai sidrap suhara dol laksana sallat idulfitri hijriah di masjid al mujahidin desa talumae camat watang sidenreng senin ,Neutral
4, saya kira kalau lihat antusiasme warga hari ini pak anies sukses bangun jakarta puji zulkifli ,Positive
0,pasang venna melinda dan ferry irawan shalat idul fitri di masjid yang tidak jauh dari diam mereka usai shalat venna cium tang ferry ,Neutral
4, yang nama shalat id itu adalah suatu yang sunnah jelas anies ,Positive
4,suasana khidmat dan penuh suka cita wbp lapas kelas i malang laksana shalat idul fitri di masjid at taubah lapas kelas i malangmalang senin lengkap ,Positive
0, enggak bisa pap habis shalat id dong ,Neutral
4,shalat id datang lebih dini duduk saf paling depan kagak buka hape anteng khusyuk orang orang kagak tau saja gua nah berak ,Positive
5,rt ia satak syukur setelah dua tahun pandemi masyarakat akhir dapat laksana ibadah shalat id tanpa jarak htt,Positive
12,siap shalat idul fitri masjid agung baitul hakimpetugas damkar kota madiun melakukang siram di areal agung baitul hakim minggu siram ini laku untuk bersih areal masjid yang akan guna untuk shalat idul fitr ,Positive
0,ribu warga kota sawahlunto laksa shalat id di lapang sepak bola ,Neutral
0,jokowi shalat id di istana yogyakarta sempat sapa jemaah di saf depan ,Neutral
-5,sudah dari dulu shalat id selalu saja sendiri namun yang bedak adalah ketika pulang masih ada bapak di rumah yang urus pesan dan sekarang tidak memang tidak maksud meromantisasi sedih hanya saja hilang ini benar ada ,Negative
-1,masjid istiqlal jakarta kembali buka bagi masyarakat untuk gelar shalat idul fitri hijriah setelah dua tahun akhir tak gelar shalat id berjamaah imbas pandemi covid ,Negative
4,rt shalat idul fitri selenggara cara batas dan ikut oleh angkat presiden pasuk aman presiden dan kak,Positive
0,prabowo subianto laksana shalat idul fitri hijriah di masjid nurul wathon ,Neutral
4,shalat idul fitri selenggara cara batas dan ikut oleh angkat presiden pasuk aman presiden dan keluarga gawai istana yogyakarta ,Positive
0,lebaran di jawa hari pertama masih sepi enggak ada gerak terpantaubeda sama di bal selespas shalat id sudah muter pada hunting kuliner,Neutral
3,masya allahsepanjang sejarah shalat id di indonesiainsya allah ini besar tampung jemaah banyak ,Positive
0,siang ketemu mega usai shalat id di hambalang prabowo terbang ke yogya mau lebaran sama jokowi ,Neutral
0,masyaalahpuluhan ribu orang antusias tuna sholat id idul fitri di jakarta international stadium jis pada senin mei sholat idul fitri di jis pada tahun ini rupa yang pertama kali gelar pemerintah provinsi dki jakarta ,Neutral
0,presiden jokowi serta ibu iriana shalat id di halaman gedung agung ,Neutral
-1,shalat idsalam salamanfoto keluargamakan lontongnaik kamarganti bajutiduragenda yang belum ganti karena saudara jauh semua minal aidzin wal faidzin mohon maaf lahir dan bathin semua ,Negative
7,rt keluarga faisal ziarah ke makam bibi andriansyah dan vanessa angel usai laku shalat id mereka juga ajak gala suka,Positive
-2,shalat id di lapang gasibu pecah rekor ujar ridwan kamil ,Negative
0,catat jmrb dan bki jasa marga group akan gelar shalat idul fitri h di rest area travoy ,Neutral
3,baru ini gue naik kereta pas hari h kelar shalat id langsung ngacir ke stasiun,Positive
4,shalat id sama ferry irawan venna melinda senang setelah tahun sendiri ,Positive
-2,venna melinda syukur karena tahun ini bisa shalat id dan raya lebaran sama suami ferry irawan pasal biasanyaia sendiri lama tahun ,Negative
-1,istiqlal kembali gelar shalat idul fitri wapres maruf amin turut hadir sariagri tani,Negative
3,keluarga faisal ziarah ke makam bibi andriansyah dan vanessa angel usai laku shalat id mereka juga ajak gala sky andriansyah ,Positive
-2,masya allah allahu akbar shalat idul fitri di jakarta international stadium jis pecah ,Negative
0,menhan prabowo laksana shalat id di masjid nurul wathon ,Neutral
0,presiden jokowi serta ibu iriana shalat id di istana presiden yogyakarta ,Neutral
0,shalat idul fitri hijriah gelar di lapang gelora kieraha ternate ,Neutral
4,siap shalat id di masjid jepara ,Positive
0,jamaah shalat id di masjid agung jepara ,Neutral
0, jakarta gubernur dki jakarta anies baswedan tiga dari kiri laksana shalat idul fitri di jakarta international stadium jis jakarta utara ,Neutral
0,warga antusias ikut shalat id perdana di jis ,Neutral
0,shalat id di masjid agung jepara ,Neutral
0,shalat idul fitri di masjid raya darussalam andi harun ajak jamaah wujud samarinda kota pusat adab salamperubahan beraniberubah samarindakotapusatperadaban,Neutral
0,shalat idul fitri di masjid raya darussalam andi harun ajak jamaah wujud samarinda kota pusat adab salamperubahan beraniberubah samarindakotapusatperadaban,Neutral
-4,rt tanyarl duh baru saja tadi shalat id ngalamin ini ketar tir ,Negative
0,lalu instagram story nya alshad ahmad bagi foto sama tiara andini saat hendak shalat id ,Neutral
0, wonge tang turu kenek kopi mulih shalat id aktip malian,Neutral
0,presiden jokowi serta ibu iriana shalat id di halaman gedung agung ,Neutral
4,rt muda gereja bagi koran gratis ke jamaah untuk alas shalat id ,Positive
11,sudah selesai shalat id nya masih harus pura pura bahagia di ceremonial hari menang oke mari tidur dahulu ,Positive
3, oleh rana itu jika faktor hukum illatul hukm adalah agar masyarakat kumpul ijtima maka shalat id dapat laku di dalam masjid maka laku shalat id di dalam masjid lebih utama daripada di tanah lapang al hafidz ibnu hajar al asqalani fathul baar ,Positive
-1,bayang setelah khutbah id jamaah bubar iring takbir hari raya remix dj bonbon ril jadi di salah satu lokasi shalat id besar di kota gue such a disgrace tapi the ummah ,Negative
0,erick sambut seluruh jamaah untuk hidup masjid at thohir ,Neutral
-3,shalat id pulang salam ke orang tua dan orang rumah pasang story mohon maaf lahir dan batin dan tidur iedmubarak,Negative
-2,masya allah allahu akbar shalat idul fitri di jakarta international stadium jis pecah ,Negative
1,gubernur jawa barat sama ridwan kamil tutur laksana shalat idul fitri hijriah di lapang gasibu kota bandung senin pecah rekor dengan jumlah jamaah yang hampir penuh lapang itu ,Positive
4,muda gereja bagi koran gratis ke jamaah untuk alas shalat id ,Positive
0,rt masjid istiqlal akan gelar shalat id perdana di masa pandemi covid ,Neutral
0,pergi subuh biar enggak jebak macet eh malah jebak yang shalat id jalan raya,Neutral
4,selamat hari raya idul fitri guyssa maaf ya kalau ada salah padang lagi ujan nih enak banget tidur habis shalat id,Positive
6,warga penuh jalan matraman raya dan jalan jatinegara barat di jakarta timur saat shalat idul fitri pada juni bawah ruas jalan yang sama kosong pada mei karena tidak gelar shalat id jemaah atas selamat idul fitri h arsipkompas idulfitri ,Positive
-6,untuk pertama kali ku ke tempat shalat id tapi enggak ikut shalat aku lihat sisi lain yang lama ini aku enggak tau ada anak kecil cowok yang telat datang sama keluarga akhir dia shalat sendiri di belakang shaf cewek ada ibu yang di tengah shalat dia henti ,Negative
0, lapor wartawan hari kompas dari depan gedung agung istana presiden yogyakarta tempat presiden jokowi laksana shalat idul fitri simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Neutral
0,ratus wbp rutan surabaya sambut idul fitri dengan shalat ied sama masyarakat rutansurabaya rutansurabayawani ,Neutral
3,masjid istiqlal penuh sesak saat laksana shalatid ,Positive
9,rt selamat hari raya idul fitri h mohon maaf lahir batin kita mulai langkah dengan batin jiwa hati semangat baru ,Positive
3,giat shalat idul fitri di kolong tol becakayu itu dapat selenggara berkat bantu lengkap dari donatur ,Positive
5,ia satak syukur setelah dua tahun pandemi masyarakat akhir dapat laksana ibadah shalat id tanpa jarak ,Positive
0,sudah tahun enggak shalat id ,Neutral
0, nyata buzeerp bangsat jahanam bisa juga ngebaacotin shalat id ya hahahahahaha,Neutral
1,kakanwil a yuspahruddin kemenkumham jateng masjid rutan banjarnegara masih padat jemaah shalat tarawih,Positive
1,shalat jamak qashar bagi musafir fatwatarjih muhammadiyah klik ,Positive
0, presiden jokowi sapa jemaah shalat idulfitri simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Neutral
0,suasana shalat id di masjid sultan mahmud badaruddin i jaya wikrama masjid agung palembang dulur charmingpalembang ada yang shalat id sini palembang idulfitri idulfitri h ,Neutral
0,suasana shalat id di masjid sultan mahmud badaruddin i jaya wikrama masjid agung palembang sobat pesonasriwijayaada yang shalat id sini pesonasriwijaya exploreyoursouthsumatra idulfitri h syawal h ,Neutral
0,video shalat idul fitri h masjid darul azhar komplek istana anakyatim ,Neutral
5,rt vidi aldiano syukur tahun ini bisa laksana ibadah shalat idul fitri di masjid ,Positive
0,masjid istiqlal akan gelar shalat id perdana di masa pandemi covid ,Neutral
5,warga pasar gembrong dapat bantu lengkap ibadah dari donatur ,Positive
0,shalat idulfitri di jatinegara simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Neutral
3,membludaknya jamaah buat parkir di masjid agung attin penuh ,Positive
0,rt ribu umat islam shalat id di halaman kantor wali kota sorong ,Neutral
0, bahlul benar ini orang orang islam atau kafir sih ini shalat id mau di mesjid atau lapang itu sah hukummnya dari jam kuda juga tidak ada yang tentang sakit jiwa ini buzzer rp heran saja pak jokowi ngangkat lo jadi jabat bumn kagak ada kapasitas dan akhlak,Neutral
5,vidi aldiano syukur tahun ini bisa laksana ibadah shalat idul fitri di masjid ,Positive
0,keluarga faisal shalat id di masjid permata qolby sanggrah jaksel ini masjid tempat jenazah vanessa angel dan bibi andriansyah dishalatkan ,Neutral
0, jakarta presiden joko widodo jokowi dan iriana jokowi laksana shalat idulfitri di halaman gedung agung istana presiden yogyakarta senin salat idulfitri sebut selenggara cara batas dan ,Neutral
4, kalo hujan betul shalat id lapang nih,Positive
4,hore masyarakat bandung bisa shalat id di lapang gasibu kilas daerah ,Positive
0,shalat id di kantor gubernur sumbar sempat guyur hujan ,Neutral
0,shalat id di kantor gubernur sumbar guyur hujan ,Neutral
0,ribu umat islam shalat id di halaman kantor wali kota sorong ,Neutral
0,presiden jokowi dan ibu iriana shalat idulfitri di halaman istana yogyakarta ,Neutral
0, tahun shalat id di rumah vidi aldiano alhamdulillah tahun ini bisa balik ke masjid ,Neutral
0,salat idulfitri di halaman istana yogyakarta selenggara cara batas ,Neutral
1,jemaah salat id mulai padat jis,Positive
0,keluarga faisal shalat id di masjid tempat vanessa angel dan bibi andriansyah dishalatkan ,Neutral
0, laaah padahal dengar khutbah masuk rukun shalat id ,Neutral
0, silaturahim di desa tekel semarang usai shalat idul fitri simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Neutral
0,hujan shalat id fitr kayak asa adrenalin nya antara fokus shalat sama fokus dengan hujan allahumma shayyiban nafi an,Neutral
0, ya allah bang baru juga kelar shalat id ,Neutral
0,selalu tidak respect dengan orang yang setelah shalat id malah nyumet rokok pas lagi kotbah langsung kira lagi kongkow sama sohib kali ya mbuleki mburimu cuk ,Neutral
2,masjid istiqlal jakarta kembali buka bagi masyarakat untuk gelar shalat idul fitri hijriah setelah dalam dua tahun akhir tak gelar salat id berjamaah imbas pandemi covid bahkan jamaah penuh sesak untuk bisa masuk ,Positive
4,ritual lepas shalat id adalah unjung makam keluarga bacak doa dan tabur bunga ramadan eidmubarak idulfitri lebaran ,Positive
0,rt shalat idul fitri di jakarta international stadium dan masjid istiqlal ,Neutral
0, shalat idul fitri di jakarta international stadium dan masjid istiqlal simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Neutral
4,rt wow haru akhir shalat id tahun terus akhir shalat id lagi ,Positive
4,wow haru akhir shalat id tahun terus akhir shalat id lagi ,Positive
0,cewek kalo shalat id wudhu dulu atau maka up duluan ,Neutral
-4,tadi shalat id kayak shalat di tengah perang nuklir gara gara anak anak pada nyalain mercon,Negative
0,rt warga bandung laksana shalat id di lapang gasibu ,Neutral
3,rt masjid istiqlal penuh warga yang akan laksana shalat id ,Positive
-4, shalat idul fitri di pasar gembrong telah usai warga kembali ke tampung korban bakar simak reportaselangsung lengkap lalu lebaran idulfitri h idulfitri adadikompas ,Negative
0,jakarta international stadium kukuh diri bagai ikon ruang publik dki jakarta dua acara helat di sana yakni malam takbir tajuk festival tabuh bedug dan shalat idul fitri h metropolitan adadikompas,Neutral
0,warga bandung laksana shalat id di lapang gasibu ,Neutral
3,masjid istiqlal penuh warga yang akan laksana shalat id ,Positive
-4,tanyarl duh baru saja tadi shalat id ngalamin ini ketar tir ,Negative
0,sudah mki shalat id waktu mi tidur,Neutral
0,baru balik shalat id ,Neutral
0,rt gubernur anies ajak warga jakarta untuk shalat id di jis ,Neutral
-7,jadi bagaimana ya guys sikap anak tantrum lama shalat id di satu sisi ganggu banget tapi kata warganet yang budiman orangtua sih anak juga enggak kepengen sih anak sebut rewel sampai ngeganggu orang,Negative
