"","score","text","class"
"32",4," saya ucap selamat hari raya idul fitri syawal h taqabbalallahu minna wa minkum ","Positive"
"33",0,"balon api sambut idul fitri warga karangjati kemranjen kabupaten banyu link video klik sini lewat ","Neutral"
"34",9,"kapolri jenderal polisi listyo sigit prabowo harap hari raya idul fitri dapat jadi momentum kuat tali saudara dan satu demi wujud indonesia yang tangguh dan tumbuh tetapprokessaatlebaranbersama laksana sama ","Positive"
"35",8,"rt selamat hari raya idul fitri hijriyah miaw segenap keluarga besar kucing kucing di lingkung kampus ugm mohon maaf","Positive"
"36",0,"rt erick thohir sholat ied sama keluarga di mesjid at thohir di lanjut bagi sembako kepada karyawan mesjid at thohir ","Neutral"
"37",4,"rt ucap selamat idul fitriib habib rizieq shihabtahun h ","Positive"
"38",-2,"rt masya allah allahu akbar shalat idul fitri di jakarta international stadium jis pecah ","Negative"
"39",-3,"rt alhamdulillah tahun ini raya idul fitri jatuh pada hari yang sama dan bisa silaturahmi dengan suasan baru dan hang","Negative"
"40",4,"rt selamat hari raya idul fitri ","Positive"
"41",4,"rt kami urus ucap selamat hari raya idul fitri h moga hari yang fitri n ini kita selalu berik","Positive"
"42",1,"rt selamat idul fitri dari admin dan keluarga mohon maaf salah dan akhlak milik akun ini ","Positive"
"43",4,"rt sholat idul fitri syawal h di jakarta international stadium jis laksana dengan baik dan lancar ","Positive"
"44",4,"rt selamat idul fitri ","Positive"
"45",9,"selamat hari raya idul fitri hmohon maaf lahir dan batinsemoga puasa dan amal ibadah kita terima oleh allah swt amin selamat mam enyak semuanyaaa","Positive"
"46",4," selamat hari raya idul fitri juga buat cipikk","Positive"
"47",4,"rt selamat idul fitri teman teman ","Positive"
"48",0,"rt belum ramadan take off aku minta maaf jika aku bad alive kata dan buat yang mnurutku regular trnyt mnyakiti hati kalau","Neutral"
"49",4,"anggota satlantas polres tanggamus serta gabung personel polres tanggamus laksana giat aman malam takbir idul fitri h di jalinbar polres tanggamus ","Positive"
"50",4,"rt ada orang anak yang lepas sholat idul fitri gegas pulang karena ia punya orang yang di sayang yang harus temu ","Positive"
"51",0,"rt menteri bumn laksana salat idul fitri perdana di masjid at thohir depok jawa baratidul fitri h si","Neutral"
"52",4,"rt kami segenap keluarga ucap selamat hari raya idul fitri ","Positive"
"53",-1," kakanwil a yuspahruddin kemenkumham jateng orang wbp rutan kebumen oleh remisi khusus hari raya idul fitri h","Negative"
"54",7,"assalamu alaikumdengan rendah hati pada sempat yang bahagia ini saya dan keluarga ucap selamat hari raya idul fitri syawal tahun hijriah mohon maaf lahir dan batin ","Positive"
"55",8,"rt suka cita di hari raya rupa suka cita hadap karunia rahmat nya allah swt firman dengan karunia allah dan ra","Positive"
"56",0,"rt jika dia bukan saudara agama dia saudara dalam manusia ali bin ab thalib untuk teman teman yang agama i","Neutral"
"57",0," habis foto kita sungkem tangis terus foto pakai tripod kecil aku degdegan banget karena tripod dan hpku masih berat hpku ku setting timer detik tapi ponakan yang cewek enggak mau diam jadi enggak ada yang bagus ku lupa senyum karena tegang banget takut hpku jatuh semua selamat idul fitri ","Neutral"
"58",5,"selamat hari raya idul fitri teman temam twitterkuuu mohon maaf lahir dan batin ","Positive"
"59",13,"lebaran penuh berkah sholat idul fitri sudah bisa laku di masjid dan lapang tetapi tetap wajib hati protokol sehat covid dengan ketat serta indah tentu yang berlaku selalu laksana sama jangan lupa ya tetapprokessaatlebaran ","Positive"
"60",0,"selamat hari raya idul fitri moga senantiasa selalu bisa maaf diri sendiri sama dan situasi yang sakit ","Neutral"
"61",5," selamat hari raya idul fitri kho minal aidzin wal faidzin mohon maaf lahir batin ya ","Positive"
"62",5," selamat hari raya idul fitri mohon maaf lahir dan batin kak fina","Positive"
"63",-1," kakanwil a yuspahruddin kemenkumham jateng napi lapas bulu raya idul fitri bareng keluarga lewat video call","Negative"
"64",4,"selamat idul fitrimaaf lahir batin eidmubarak","Positive"
"65",4," selamat hari raya idul fitri","Positive"
"66",5,"rt selamat raya hari raya idul fitri h untuk semua mohon maaf lahir dan batin ya lebaran idulfitri h","Positive"
"67",4,"raya hari raya idul fitri dengan anggota pangdam xii tpr gelar halal bihalal sederhana tniadmengabdidanmembangunbersamarakyat ","Positive"
"68",-1," kakanwil a yuspahruddin kemenkumham jateng orang warga bina rutan kebumen oleh remisi khusus hari raya idul fitri h karut orang langsung bebas","Negative"
"69",4,"selamat hari raya idul fitri htaqabbalallahu minna wa minkum wa taqabbal ya kariimminal aidzin wal faidzinmohon maaf lahir dan batin ya semua sedikit thr buat kalian ","Positive"
"70",5,"rt selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal po","Positive"
"71",-5," biasa a uni kan mau pilpress takut istilah idul fitri ini klaim juga ","Negative"
"72",1,"rt selamat hari raya idul fitri h moga segala salah dan khilaf dapat maaf minal aidin wal faidzin mohon maaf l","Positive"
"73",-1," kakanwil a yuspahruddin kemenkumham jateng lebaran idul fitri napi rutan kebumen dapat remisi khusus","Negative"
"74",5,"selamat hari raya idul fitri taqobbalahu minna wa minkum mohon maaf lahir dan batin","Positive"
"75",2,"raya idul fitri di seluruh dunia indonesia sukacita afghanistan landa miskin ","Positive"
"76",7,"rt keluarga besar bawaslu kabupaten bandung ucap selamat hari raya idul fitri syawal hijriyah minal aidin","Positive"
"77",4," selamat idul fitri pak ","Positive"
"78",4,"h selamat hari raya idul fitri bagi yang raya ","Positive"
"79",5,"selamat hari raya idul fitri bagi teman yang raya mohon maaf lahir dan batin selamat lebaran ","Positive"
"80",8,"rt segenap admin penting los ucap selamat hari raya idul fitri mohon maaf lahir dan batin ","Positive"
"81",0,"arfian idul fitri ","Neutral"
"82",8,"keluaraga salamanca ucap selamat hari raya idul fitri sehat selalu ","Positive"
"83",7,"penuh memblidak rapi atur bahkan ada yang malam di jis demi sholat idul fitri sama pak anis baswedan ","Positive"
"84",9,"selamat hari raya idul fitrimari kita saling maaf karena kalo saling cinta enggak dulukarena saya cinta mas yoongi ","Positive"
"85",4,"rt selamat hari raya idul fitri h mas tum lebaran tum cisss p dapse raihkemenanganbersama lebara","Positive"
"86",4,"minal aidin wal faizin selamat hari raya idul fitri bagi yang raya ya ","Positive"
"87",0," kakanwil a yuspahruddin kemenkumham jateng napi rutan salatiga dapat remisi idul fitri langsung bebas","Neutral"
"88",6,"khutbah idul fitri kah cholil nafis di jakarta international stadium sangat cerah dan bernas terima kasih ","Positive"
"89",-1,"sambut idul fitri h dandim sintang damping bupati pada tradisi meriam karbit ","Negative"
"90",0,"tuna salat idul fitri puan momentum maaf dan spirit pupuk satu bangsa ","Neutral"
"91",1,"rt kepala divisi humas polri mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lah","Positive"
"92",4,"rt selamat hari raya idul fitri h ","Positive"
"93",3,"rt thr alert selamat hari raya idul fitri h babu ku sayang untuk raya admin mau bagi thr nih bisa tf ke bank","Positive"
"94",25,"selamat idul fitri teman mohon maaf lahir dan batin senang banget aku lebaran ini di jakarta sempat nikmat hidang lebarannn moga di hari raya ini hati penuh oleh suka cita dan damai sejahtera bagi semua ","Positive"
"95",4," selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
"96",5," selamat hari raya idul fitri mohon maaf lahir bathin ","Positive"
"97",4,"wakil kepala polisi daerah jawa barat mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin wakapoldabrigjen pol bariza sulfi tetapprokessaatlebaranbersama laksana sama ","Positive"
"98",5,"eid mubarak selamat hari raya idul fitri mohon maaf lahir batin ","Positive"
"99",5,"buat sobat muslim selamat raya hari raya idul fitri h tahun mohon maaf lahir batin ","Positive"
"100",-5,"rt gilir idul adha diributin soal keji hadap hewan tiba tiba muncul aktivis peta dadakanskrg gilir idul fitri ya","Negative"
"101",0," kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri republika online ","Neutral"
"102",9,"rt selamat hari raya idul fitri ingat kita harus saling maaf karena kalo saling cinta aku yakin kamu enggak mau happyeidmu","Positive"
"103",-2," btw template idul fitri sudah banyak tuh tinggal copas saja wkwkwk","Negative"
"104",4,"rt assalamualaikum tous eid mubarak everyone taqabbal allhu minn wa minkum mau god bless everyone selamat h","Positive"
"105",0," taqoballallohu mina waminkum syiyamana wasyiyamakum taqobal ya kariim iedmubarakselamat idul fitri maaf lahir bathin","Neutral"
"106",0,"lebaran idul fitri orang napi lapas narkotika tanjungpinang terima remisi ","Neutral"
"107",0," shalat juga maksud saya moment sholat idul fitri taun sekal ","Neutral"
"108",0,"wali kota padang sidempuan sama forkopimda sholat idul fitri h di halaman masjid agung al abror padangsidempuan ","Neutral"
"109",5,"rt penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid berik","Positive"
"110",0,"cita adalah busa mudik dan sholat idul fitri adha di istiqlal amin ","Neutral"
"111",4,"l karsinfo amlapura senin mei banyak anak didik masyarakat lpka kelas i karangasem dengan suka cita terima remisi hari raya idul fitri tahun ","Positive"
"112",0,"rt suasana sholat idul fitri di jakarta international stadium jis eidmubarak eidulfitr eid idulfitri h idulfitri lebar","Neutral"
"113",5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batin","Positive"
"114",3," kasubsi ayan tahan kanwil kemenkumham sulsel rusdin rk idul fitri yang berik kepada warga bina harus penuh syarat cara administratif substantif kumhampasti kumhamsulsel rutanpinrang","Positive"
"115",5," selamat idul fitri kak panil and team mohon maaf lahir batin ","Positive"
"116",5,"rt penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut","Positive"
"117",5," selamat hari raya idul fitri h mohon maaf lahir batin sama mbak maaf saya juga ya ","Positive"
"118",5,"rt hai hai hai selamat hari raya idul fitri mohon maaf lahir dan batin agnezmo eidmubarak ","Positive"
"119",5,"selamat idul fitri ya kawan mohon maaf lahir batin ","Positive"
"120",7,"rt kami dan keluarga besar betfury id ingin ucap selamat hari raya idul fitri hidul fitri jadi momentum bagi kit","Positive"
"121",-4,"rt idul fitri jadi idul politik lantar ceramah bahas politik fitnah membabibuta akhir jamaah banyak yang bubar kak","Negative"
"122",5,"selamat hari raya idul fitri hminal aidzin wal faidzin mohon maaf lahir dan bathin yoharmen arnov family lebaran idulfitri h keluarga pekanbaru ","Positive"
"123",-1,"rt saja alanallahu minal aidzin wal faizinsemoga allah swt jadi kita masuk orang orang yang kembali dan orang orang ya","Negative"
"124",0,"lanud supadio gelar shalat idul fitri h sama dengan imam khatib ustadz h makful shafwan langsung di military appron lanud supadio kubu raya senin ","Neutral"
"125",-1,"kakanwil kemenkumham jateng a yuspahruddinlapas brebes laksana shalat idul fitri lanjut beri remisi khusus hari raya kumhampasti bhpsemarang ayuspahruddin kemenkumhamjateng idulfitri h","Negative"
"126",5,"selamat hari raya idul fitri h mohon maaf lahir dan batin taqabbalallahu minna waminkum minal aidin wal faizin","Positive"
"127",4,"selamat hari raya idul fitri bagi teman yang raya ","Positive"
"128",5,"selamat hari raya idul fitri buat semua umat muslim yang baca ini kenal atau enggak kenal mohon maaf lahir batin ya ","Positive"
"129",0,"selamat hari raya idul fitri semuaaafifii sadar banyak salah maaf yaakeluarga inti keluarga full team ","Neutral"
"130",12," yang minta maaf adalah yang besar hati dan yang maaf adalah yang mulia hati quotes dari film india kabhi khushi kabhi gham yang selalu ingat selamat hari raya idul fitri mutual ku mohon maaf lahir dan batin dari hati dalam moga maaf","Positive"
"131",4,"selamat hari raya idul fitri h mtaqabalallahu minna wa minkum taqabal ya kariimminal aidin wal faidzin iedmubarak idulfitri h","Positive"
"132",3," kepala rutan pinrang kanwil kemenkumham sulsel wahyu trah utomo damping kasubsi y rusdin serah cara simbolis rk idul fitri tahun kepada orang wakil wbp kumhampasti kumhamsulsel rutanpinrang","Positive"
"133",1,"kepala polisi daerah jawa barat mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapoldairjen pol drs suntana tetapprokessaatlebaranbersama laksana sama ","Positive"
"134",4,"rt hari kmngan tlh tb dengan ph ktulus membk pt hati untuk slig mmfkan selamat hari ry idul fitri moho maaf lahir ","Positive"
"135",3,"rt rindu akan takbir yang sunyi kali idul fitri akhir bayar masyaallah pak anies warga tadi malam di jis ","Positive"
"136",0,"rt menteri bumn ajak seluruh elemen bangsa jadi idul fitri bagai momentum dalam mmperkuat rasa sa","Neutral"
"137",5," syawal h selamat lebaran idul fitri mohon maaf lahir batin ","Positive"
"138",4," gofoodin gua saja mat btw selamat hari raya idul fitri ya ","Positive"
"139",4,"rt selamat hari raya idul fitri h taqabbalallahu minna wa minkum shiyamana wa shiyamakum minal aidin wal faizin mau","Positive"
"140",9,"selamat hari raya idul fitri h mohon maaf lahir dan batin untuk semua dari mamika abajih mithu dan zayn moga kita semua diberika berkah dan bahagia happyeidmubarak ","Positive"
"141",0,"rt singapura lain daripada yang lain lebaran lusa saya keluarga lain daripada yang lain untuk yang tinggal di singapura ","Neutral"
"142",6,"selamat hari raya idul fitri kawan haha","Positive"
"143",0," kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri lima langsung bebas","Neutral"
"144",0,"presiden jokowi serta ibu iriana shalat idul fitri di halaman gedung agung ","Neutral"
"145",4,"rt happy eid mubarak for carats who celebrate selamat hari raya idul fitri untuk teman teman carats yang merayakanmina","Positive"
"146",0,"rt jelang hari raya idul fitri h dpc partai demokrat kabupaten nunukan gelar aksi sosial upa bagi bingkis","Neutral"
"147",5," thrdariakungakasyik selamat hari raya idul fitri mohon maaf lahir batinttd ","Positive"
"148",7,"rt ucap selamat idul fitri syawal hijriyah dari wakil presiden indonesia prof dari kak h sama ruf amin lebarandi","Positive"
"149",4,"rt selamat hari raya idul fitri syawal hijriyah moga ibadah dan kerja keras kita lama bulan ramadan jadi","Positive"
"150",0," taqoballallohu mina waminkum syiyamana wasyiyamakum taqobal ya kariim iedmubarakselamat idul fitri maaf lahir bathinterimakasih kakak","Neutral"
"151",0,"rt usai laksana shalat idul fitri menteri bumn erick thohir sapa dan silaturahmi dengan masyarakat yang ikut melaks","Neutral"
"152",4,"selamat idul fitri dari kami keluarga ","Positive"
"153",-1,"haloo mootss selamat hari raya idul fitri minal aidzin wal faidzin mohon maaf lahir batin minta maaf ya gaiss lama di akun ini aku ada salah sengaja maupun enggak","Negative"
"154",15,"halo fitizen kami segenap keluarga besar balai sehat olahraga masyarakat bandung ucap selamat hari raya idul fitri syawal hminal aidil wal faidzinmohon maaf lahir batinsalam sehat bugar dan produktif ","Positive"
"155",8,"with my mamsky bapake nya sudah di alam barzah di idul fitri ini enggak lupa juga buat doain bapake al fatihah moga tenang dan beri nikmat kubur amin ","Positive"
"156",0,"dasco jadi idul fitri ajang erat satu dan saudara lebaran idulfitri h ","Neutral"
"157",5,"selamat idul fitri h mohon maaf lahir dan batin ","Positive"
"158",3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
"159",7,"ucap selamat hari raya idul fitri dari raisa krisdayanti dan atiqah hasiholan moga di hari yang fitri kita semua bisa kembali fitri dan jadi manusia lebih baik tonton lebaran di kumpar di lebarandikumparan kembalidekat ","Positive"
"160",9,"rt a care ucap selamat hari raya idul fitri h mohon maaf lahir dan batin sehat medis aplikasikesehatan","Positive"
"161",4,"rt taqobbalallahu minna wa minkumsobat twitter selamat hari raya idul fitri hsemoga allah terima amal shalih kita si","Positive"
"162",4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
"163",9,"rt kami keluarga ucap selamat idul fitri syawal hijriah mohon maaf lahir batinsalam hormat benny rhamd","Positive"
"164",4,"selamat hari raya idul fitrimohon maaf lahir bathin","Positive"
"165",0,"rt shalat idul fitri di jis tadi pagi anies aniesbaswedan ","Neutral"
"166",8,"rt cuaca wilayah banyuwangi kini umum cerah awan selamat raya idul fitri bagi yang raya ","Positive"
"167",12,"selamat idul fitri semua mohob maaf lahir batin moga apa ada selalu kasi bahagia sama allah hari yang baik ini","Positive"
"168",4,"yuk simak atur laksana ibadah salat idul fitri h dasar se menteri agama kena atur dalam laksana giat ibadah salat idul fitri h berik sejumlah atur untuk laksana tetapprokessaatlebaranbersama laksana sama ","Positive"
"169",5,"selamat hari raya idul fitri syawal h minal aidin wal faidzin mohon sama af lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo nya juliati sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
"170",5,"assalamu alaikum selamat hari raya idul fitri h mohon maaf lahir dan bathin ","Positive"
"171",-1," orang warga bina rutan pinrang kanwil kemenkumham sulsel dapat remisi khusus rk hari raya idul fitri tahun orang langsung bebas senin kumhampasti kumhamsulsel rutanpinrang ","Negative"
"172",1,"maaf atas segala salah bicara salah kata salah sikap selamat idul fitri h ","Positive"
"173",4,"rt selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
"174",4,"rt selamat hari raya idul fitri hmohon maaf atas segala kata dan buat yang sengaja maupun tidak sengaja","Positive"
"175",8,"keluarga besar border founder ucap selamat hari raya idul fitri h mohon maaf lahir dan batin ","Positive"
"176",5,"penyelenggaran giat ibadah di hari raya idul fitri tahun ini masih dalam ada dalam masa pandemi covid ikut tentu dalam edar penyelenggaran ibdah idul fitri tahun h sama surat edar nomor se tahun tetapprokessaatlebaranbersama laksana sama ","Positive"
"177",0,"raya idul fitri di rutan adek yasin hanya bisa bertemu keluarga via penggilan video ","Neutral"
"178",12,"rt selamat hari raya idul fitri sobatmohon maaf lahir batinselamat bahagia sama keluarga sayang","Positive"
"179",4,"rt selamat hari raya idul fitri hmohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
"180",0,"dandim sintang hadir lepas takbir keliling sambut hari raya idul fitri h ","Neutral"
"181",0,"rt di hari raya idul fitri ini menteri bumn erick thohir jalan sholat ied sama keluarga di mesjid at thohir di lanj","Neutral"
"182",5,"selamat hari raya idul fitri mohon maaf lahir batin ya semua ","Positive"
"183",8,"rt keluarga besar damkarmat kota jogjakarta ucap selamat hari raya idul fitri h mohon maaf lahir banget","Positive"
"184",5," selamat hari raya idul fitri mohon maaf lahir batin bagi yang raya","Positive"
"185",0,"tum kapan ajak warga akhir narasi cebong kampret di momen idul fitri rmoljakarta pada bareng ahy","Neutral"
"186",4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
"187",5,"minalaidin wal faizin mohon maaf lahir dan batin selamat raya hari raya idul fitri h ","Positive"
"188",9," selamat hari raya idul fitri juga kakak cantik ","Positive"
"189",8," mantap selamat idul fitri bang dari dulu kepala plontos terus nih","Positive"
"190",1,"kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faidzin mohon maaf lahir dan batin kapolrijenderal polisi drs listyo sigit prabowo tetapprokessaatlebaranbersama laksana sama ","Positive"
"191",0,"rt setelah laksana sholat idul fitri menteri bumn lanjut bagi sembako kepada karyawan mesjid at ","Neutral"
"192",4," selamat idul fitri","Positive"
"193",7,"rt xavi dan keluarga besar fc barcelona ucap selamat hari raya idul fitri untuk semua culers yang raya","Positive"
"194",0,"ayo ndang ditokne ucap idul fitri seko usaha e dewe ben ketok kerjone nengdi ","Neutral"
"195",4,"selamat hari raya idul fitri h warm regard bisa kerjain ","Positive"
"196",0,"usai laksana shalat idul fitri menteri bumn erick thohir sapa dan silaturahmi dengan masyarakat yang ikut laksana shalat di masjid at thohirtidak hanya sapa erick thohir juga turut layan minta foto selfie sama masyarakat erickthohirsolusirakyat ","Neutral"
"197",5,"rt kami keluarga ucap selamat idul fitri mohon maaf lahir dan batin taqabalallah minna wa minkum shiamana wa shi","Positive"
"198",0," kakanwil a yuspahruddin kemenkumham jateng napi lapas semarang oleh remisi idul fitri","Neutral"
"199",4,"selamat idul fitri yall ","Positive"
"200",0,"rt jl cendana no diam presiden r ke hm soeharto biasa tiap idul fitri laku open house keluarga pak h","Neutral"
"201",4,"selamat hari raya idul fitri h lebaran laksana sama tetap guna masker saat laksana sholat ied tetapprokessaatlebaranbersama laksana sama ","Positive"
"202",0,"rt menteri bumn erick thohir dan keluarga laksana shalat idul fitri di masjid at thohir cimanggis depok jawa baratsha","Neutral"
"203",8,"rt hari menang telah tiba selamat hari raya idul fitri hijriahmohon maaf lahir dan batin erickth","Positive"
"204",5,"rt selamat hari raya idul fitri h mohon maaf lahir dan batin erickthohirsolusirakyat","Positive"
"205",-1,"rt minal aidzin wal faizin moga allah suci kembali kita sela umat yang tak luput dari salah selamat hari raya id","Negative"
"206",9,"selamat hari raya idul fitri minal aidin wal faizin mohon maaf lahir dan batin moga allah jadi kita bagai hamba nya yang lebih baik lagi selamat libur dan kumpul sama keluarga ","Positive"
"207",5," sama mbak selamat hari raya idul fitri ayo hehe mbalik ","Positive"
"208",0,"rt idul fitri bukan berik nyata yang bagus dan bernas eh malah pamer pamer itu kalau bangun dominan pakai apb","Neutral"
"209",4,"selamat hari raya idul fitri buat teman teman online semua yang raya","Positive"
"210",5,"rt untuk kamu yang nanti ditanya kapan nikah di moment idul fitri sama orang orang jawab saja nikah itu ibadah terpanjan","Positive"
"211",-6,"idul fitri pertama jauh dari orang tua","Negative"
"212",5,"rt menteri bumn erick thohir ucap selamat idul fitri syawal hijriah minal aidin wal faizin mohon maaf lah","Positive"
"213",4,"selamat idul fitri ","Positive"
"214",0,"rt kenapa pemerintah belum umum hari raya idul fitri h padahal hilal sudah lebih derajat","Neutral"
"215",0,"rt kitar jemaah laksana salat idul fitri di masjid al aqsa ","Neutral"
"216",4,"anggota satlantas polres tanggamus serta gabung personel polres tanggamus laksana giat aman malam takbir idul fitri h di jalinbar polres tanggamus ","Positive"
"217",4," have nice day kak selamat idul fitri bagi yang raya req nct hello future dong","Positive"
"218",0,"rt kepala polisi negara republik indonesia mengucapkanselamat hari raya idul fitri hijriah minal aidin wal faid","Neutral"
"219",0,"rt hai aku mau bagi bagi shopeepay thr kak untuk besok ya aku bakal priv akun ini habis shalat idul fitri okk setelah itu aku","Neutral"
"220",4,"siang twitter selamat hari raya idul fitri ","Positive"
"221",0," kakanwil a yuspahruddin kemenkumham jateng berkah idul fitri warga bina rutan kudus kemenkumham jateng terima remisi ","Neutral"
"222",3,"menteri bumn laksana salat idul fitri perdana di masjid at thohir depok jawa baratidul fitri h bagai momentum besar bagi bangsa yang telah juang hadap bagai tantang akibat pandemi covid erickthohirsolusirakyat ","Positive"
"223",5,"rt selamat hari raya idul fitri h mohon maaf lahir dan bathin ","Positive"
"224",3,"alhamdulillah tahun ini sholat idul fitri sudah boleh laku berjamaah laksana sama tetap harus laksana mulai dari laksana sholat idul fitri hingga dengan silaturrahmi sama kerabat tetapprokessaatlebaranbersama laksana sama ","Positive"
"225",4," selamat hari raya idul fitri maaf lahir bathin ","Positive"
"226",8," ramadhan hhari ini akhir masuk kantor belum cuti sama lebaran idul fitri nanti alhamdulillah kerja di kantor aman jaya nasabah juga semua sahabat terimakasih sahabat syariah yang amanah moga sehat selalu semua","Positive"
"227",8,"rt selamat hari raya idul fitri syawal hijriah berkah bahagia dan bagi warna hari nan fitri ini salam ind","Positive"
"228",5," syawal h support selamat lebaran idul fitri mohon maaf lahir batin ","Positive"
"229",4," sholat ied dengar ceramah maaf maaf kumpul keluarga makan jajan selamat hari raya idul fitri galaxymemojichallenge gakadamatinya samsunggalaxy ","Positive"
"230",5,"selamat hari raya idul fitri h minal aidin wal faizin mohon maaf lahir dan batin ","Positive"
"231",4," makasiiih selamat hari raya idul fitri juga ya ","Positive"
"232",8,"rt wah dokter semua kalau aku keluarga pasien semua selamat idul fitri dok","Positive"
"233",5," selamat hari raya idul fitri h mohon maaf lahir batin ","Positive"
